type,ga_weeks,ga_days,L,M,S,p3,p10,p50,p90,p97,-2SD,-1.5SD,±0SD,+1.5SD,+2SD
weight_male_nulliparous,34,2,1.282,2147.702,0.128,1611,1787,2148,2492,2649,1575,1723,2148,2550,2680
weight_male_nulliparous,34,3,1.281,2165.700,0.128,1625,1802,2166,2513,2671,1589,1738,2166,2571,2702
weight_male_nulliparous,34,4,1.276,2201.723,0.128,1654,1833,2202,2554,2714,1617,1768,2202,2613,2746
weight_male_nulliparous,34,5,1.274,2219.742,0.127,1668,1849,2220,2575,2736,1632,1783,2220,2634,2768
weight_male_nulliparous,34,6,1.268,2255.786,0.127,1697,1880,2256,2616,2779,1660,1814,2256,2675,2811
weight_male_nulliparous,35,0,1.266,2273.807,0.127,1712,1896,2274,2636,2801,1675,1829,2274,2696,2833
weight_male_nulliparous,35,1,1.262,2291.827,0.127,1726,1911,2292,2656,2822,1689,1844,2292,2717,2855
weight_male_nulliparous,35,2,1.255,2327.866,0.126,1756,1943,2328,2697,2865,1718,1875,2328,2759,2899
weight_male_nulliparous,35,3,1.251,2345.888,0.126,1771,1959,2346,2718,2887,1733,1891,2346,2780,2920
weight_male_nulliparous,35,4,1.243,2381.941,0.126,1801,1991,2382,2758,2930,1763,1922,2382,2821,2964
weight_male_nulliparous,35,5,1.238,2399.972,0.125,1816,2007,2400,2778,2951,1778,1938,2400,2842,2985
weight_male_nulliparous,35,6,1.227,2436.032,0.125,1847,2039,2436,2819,2994,1809,1970,2436,2883,3028
weight_male_nulliparous,36,0,1.221,2454.057,0.124,1863,2055,2454,2839,3015,1824,1986,2454,2903,3050
weight_male_nulliparous,36,1,1.214,2472.073,0.124,1878,2071,2472,2859,3036,1840,2002,2472,2924,3071
weight_male_nulliparous,36,2,1.200,2508.055,0.124,1910,2104,2508,2899,3079,1871,2034,2508,2965,3114
weight_male_nulliparous,36,3,1.192,2526.011,0.123,1926,2121,2526,2919,3100,1887,2050,2526,2985,3135
weight_male_nulliparous,36,4,1.175,2561.823,0.123,1958,2154,2562,2959,3141,1919,2083,2562,3026,3177
weight_male_nulliparous,36,5,1.166,2579.664,0.122,1974,2170,2580,2979,3162,1935,2099,2580,3046,3198
weight_male_nulliparous,36,6,1.146,2615.180,0.121,2007,2203,2615,3018,3203,1967,2132,2615,3086,3240
weight_male_nulliparous,37,0,1.135,2632.837,0.121,2023,2220,2633,3037,3224,1984,2148,2633,3105,3261
weight_male_nulliparous,37,1,1.125,2650.414,0.121,2040,2236,2650,3056,3244,2000,2165,2650,3125,3281
weight_male_nulliparous,37,2,1.101,2685.289,0.120,2072,2269,2685,3095,3284,2033,2198,2685,3164,3322
weight_male_nulliparous,37,3,1.089,2702.568,0.119,2089,2286,2703,3114,3304,2049,2214,2703,3183,3342
weight_male_nulliparous,37,4,1.064,2736.775,0.119,2122,2319,2737,3151,3343,2082,2247,2737,3221,3381
weight_male_nulliparous,37,5,1.051,2753.688,0.118,2138,2335,2754,3169,3362,2099,2263,2754,3240,3401
weight_male_nulliparous,37,6,1.024,2787.095,0.117,2171,2367,2787,3205,3400,2131,2296,2787,3276,3439
weight_male_nulliparous,38,0,1.010,2803.575,0.117,2187,2383,2804,3223,3419,2148,2312,2804,3294,3458
weight_male_nulliparous,38,1,0.996,2819.897,0.116,2203,2399,2820,3241,3437,2164,2328,2820,3312,3477
weight_male_nulliparous,38,2,0.968,2852.036,0.115,2235,2431,2852,3275,3474,2196,2359,2852,3347,3513
weight_male_nulliparous,38,3,0.954,2867.842,0.115,2251,2446,2868,3292,3491,2212,2375,2868,3365,3531
weight_male_nulliparous,38,4,0.925,2898.892,0.114,2282,2477,2899,3325,3526,2243,2406,2899,3398,3566
weight_male_nulliparous,38,5,0.910,2914.129,0.114,2297,2492,2914,3342,3543,2258,2421,2914,3415,3583
weight_male_nulliparous,38,6,0.881,2944.012,0.113,2327,2522,2944,3374,3577,2289,2451,2944,3447,3617
weight_male_nulliparous,39,0,0.866,2958.655,0.112,2342,2536,2959,3389,3593,2304,2465,2959,3463,3634
weight_male_nulliparous,39,1,0.851,2973.096,0.112,2357,2551,2973,3404,3609,2318,2480,2973,3479,3650
weight_male_nulliparous,39,2,0.823,3001.369,0.111,2386,2579,3001,3435,3641,2347,2508,3001,3509,3682
weight_male_nulliparous,39,3,0.808,3015.204,0.111,2400,2593,3015,3449,3656,2362,2522,3015,3524,3697
weight_male_nulliparous,39,4,0.780,3042.285,0.110,2427,2620,3042,3478,3686,2389,2549,3042,3554,3728
weight_male_nulliparous,39,5,0.766,3055.536,0.110,2441,2633,3056,3492,3701,2403,2563,3056,3568,3743
weight_male_nulliparous,39,6,0.738,3081.480,0.109,2467,2659,3081,3520,3730,2430,2589,3081,3596,3772
